bike_station_name,poi_name,distance,latitude,longitude
8th & Macdonald,Nat's New York Pizzeria,195.72811513175978,49.2638609,-123.1659228
8th & Macdonald,Petite Bao,106.4304177995378,49.264246943743714,-123.1690986
30th & Ontario,Autostrada,302.1992293601572,49.241739078174035,-123.1016538
30th & Ontario,Seasons In the Park,580.4448887148214,49.2416705486198,-123.112535476685
30th & Ontario,East is East,333.68814046161833,49.2452136,-123.1014916
30th & Ontario,Breka Bakery & Café,282.87553261227134,49.24383730986246,-123.10114614665508
30th & Ontario,MeeT on Main,478.03880204294546,49.2467145032391,-123.100830778711
30th & Ontario,The Fish Counter,867.4715430742276,49.25076,-123.10136
30th & Ontario,BBQ Chicken,324.96501161262097,49.2448724,-123.1011006
30th & Ontario,The Locus,626.9635332984878,49.2485,-123.10147
30th & Ontario,Zakkushi Dining On Main,683.7708378992241,49.249124,-123.101552
30th & Ontario,Sula- Main Street,594.533745570467,49.24797017503239,-123.10079066069838
Lakewood & Triumph,Dundas Eat + Drink,123.57886752884158,49.285084,-123.062273
Lakewood & Triumph,Mr Red Cafe,299.5340052057626,49.281317,-123.060882
Lakewood & Triumph,Aleph Eatery,330.46148124768456,49.2849288,-123.065795
Lakewood & Triumph,Tacofino Commissary,420.0507445259669,49.281311298366035,-123.0574981
Lakewood & Triumph,The Red Wagon,307.28423341065616,49.28122323218941,-123.06112288953248
Lakewood & Triumph,Straight and Marrow,348.7935353071749,49.2848302,-123.0661495
Lakewood & Triumph,Innocent Ice Cream,290.37743025341746,49.28135725832989,-123.0615231
Lakewood & Triumph,Royal Palace Seafood,304.4267299537309,49.28144,-123.06023
Lakewood & Triumph,Yama Cafe,310.2607723326607,49.2813049,-123.0632877
Lakewood & Triumph,Absinthe Bistro,1038.1018023810343,49.27607,-123.0692457
13th & Cambie,iDen & Quan Ju De Beijing Duck House,60.853980634931204,49.26021,-123.1148451
13th & Cambie,Vij's Restaurant,223.40274979446897,49.25754,-123.11479
13th & Cambie,Passion8 Dessert Cafe,128.25862661769236,49.258435242883,-123.11499774456
13th & Cambie,Saku,415.29833424405973,49.2631006,-123.11667523250104
13th & Cambie,Indian Roti Kitchen,74.94135597069754,49.25901,-123.11538
13th & Cambie,Tropika On Cambie,82.68938494081223,49.2589,-123.11538
13th & Cambie,Hokkaido Ramen Santouka,418.756144570091,49.263127,-123.1168917
13th & Cambie,La Taqueria Pinche Taco Shop,467.44152422047284,49.263617,-123.112593
13th & Cambie,The Golden Horn Turkish Bakery & Cafe,52.97686955151676,49.25981092848732,-123.11540668
13th & Cambie,Marulilu Cafe,426.25819705441336,49.26338,-123.11415
Arbutus & Nanton,Starbucks,346.98152738026516,49.2447471706978,-123.153868677854
Arbutus & Nanton,Nectar's Coffee Shop,85.76842787663111,49.24856,-123.15451
Arbutus & Nanton,Arbutus Greenway,392.9392330292031,49.2510016,-123.1558828
Arbutus & Nanton,Arbutus Village Park,337.58829056769406,49.248863,-123.1584703
Arbutus & Nanton,Quilchena Off-leash Dog Park,749.6967110332713,49.2424532990779,-123.1472395733
Arbutus & Nanton,Quilchena Park,407.54983232401906,49.2449714,-123.1495742
Arbutus & Nanton,Trafalgar Park,716.8650790744819,49.2509793968187,-123.162060125903
Arbutus & Nanton,Ravine Park,831.6054045451468,49.2394954,-123.1572311
Arbutus & Nanton,Prince of Wales Park,668.1529654925585,49.2439659,-123.1587144
Arbutus & Nanton,Angus Park,984.1776356772014,49.25413,-123.14412
14th & Fraser,Osteria Savio Volpe,113.3631500527942,49.2574913,-123.0909344
14th & Fraser,Les Faux Bourgeois,75.11128098939943,49.2572813531481,-123.089767330802
14th & Fraser,Sal y Limón,116.88474696576696,49.2569043786921,-123.08924632997
14th & Fraser,Los Cuervos Taqueria Y Cantina,121.29187697159362,49.2574755005862,-123.091043941677
14th & Fraser,Matchstick Coffee,92.95218198141515,49.257302653286,-123.090361582581
14th & Fraser,Fassil Ethiopian Restaurant,494.5068269067629,49.262316686122,-123.08833077466
14th & Fraser,Straight Outta Brooklyn NYC Pizzeria,127.08861531831691,49.25682,-123.08919
14th & Fraser,Anh and Chi,884.9720290647562,49.2550314422938,-123.100882202153
14th & Fraser,The Fish Counter,1165.4805379019278,49.25076,-123.10136
14th & Fraser,The Gluten Free Epicurean,99.67920221831618,49.2573863,-123.0906877
15th & Victoria (Trout Lake),The Burrow,455.1435139732082,49.2597591,-123.0700099
15th & Victoria (Trout Lake),Pink Peppercorn Seafood House,1012.741914834904,49.2493583,-123.0739159
15th & Victoria (Trout Lake),Gojo Café,378.47015040375663,49.2589549,-123.069605
15th & Victoria (Trout Lake),Do Chay,1092.7735644268587,49.25006,-123.0765
15th & Victoria (Trout Lake),Po Kong Vegetarian Restaurant,1102.538917448549,49.25047,-123.07746
15th & Victoria (Trout Lake),Sun Bo Kong Vegetarian Restaurant,1060.6403928659163,49.25076313662938,-123.0768886901428
15th & Victoria (Trout Lake),Chongqing Restaurant,396.41922082082556,49.25932,-123.06945
15th & Victoria (Trout Lake),Yook Korean Grilled BBQ & Bistro,950.599882225497,49.2629225,-123.0564851
15th & Victoria (Trout Lake),Ashiana Tandoori Restaurant,1074.2376621741028,49.2494722,-123.0749207
15th & Victoria (Trout Lake),Flourist,376.7737534971903,49.2538433,-123.0681805
Robson & Hornby,Hawksworth Restaurant,223.5158549686978,49.2833971,-123.1191704
Robson & Hornby,Boulevard,130.05866090526453,49.2827182,-123.123884
Robson & Hornby,JOEY Burrard,80.83562912641669,49.28259066168153,-123.12317650349448
Robson & Hornby,Tendon Kohaku,188.7983653682657,49.28107123873706,-123.12179426645872
Robson & Hornby,Thierry,233.95690691519982,49.2848818,-123.1228949
