POI Name,Category,Address,City,Rating,Review Count,Latitude,Longitude,Station Name
Pink Pearl Chinese Restaurant,Seafood,1132 E Hastings Street,Vancouver,3.1,167,49.2806799,-123.08023,Station 1
Como Taperia,Tapas Bars,201 E 7th Avenue,Vancouver,3.7,97,49.2647449,-123.1006898,Station 1
DD Mau Chinatown,Vietnamese,145 E Pender Street,Vancouver,4.2,107,49.2805314,-123.1009349,Station 1
Jade Dynasty Restaurant,Dim Sum,137 E Pender Street,Vancouver,3.5,218,49.28066,-123.10097,Station 1
Gusto A Taste of Italy,Desserts,1610 Salt St,Vancouver,4.2,96,49.2714006565536,-123.10593623668,Station 1
Electric Bicycle Brewing,Breweries,20 E 4th Avenue,Vancouver,4.3,36,49.26708,-123.10423,Station 1
CRAFT Beer Market,Beer Bar,85 W 1st Avenue,Vancouver,3.4,540,49.2702147,-123.1060713,Station 1
The Garden Strathcona,Cafes,868 E Hastings Street,Vancouver,4.7,42,49.28076,-123.08563,Station 1
Kosoo Pocha At Sai Woo,Asian Fusion,158 East Pender Street,Vancouver,3.7,184,49.28015,-123.10099,Station 1
The Hide Out Diner,Breakfast & Brunch,101-1951 Glen Drive,Vancouver,4.5,19,49.2688895,-123.0811837,Station 1
Tap & Barrel - Olympic Village,American,75 Athletes Way,Vancouver,3.1,495,49.2715389,-123.106136,Station 1
Miso Taco,Japanese,219 Union St,Vancouver,4.3,31,49.277937,-123.098943,Station 1
Manpuku Bento,Japanese,288 E Pender Street,Vancouver,4.5,43,49.2802491373977,-123.097699172795,Station 1
New Town Bakery & Restaurant,Bakeries,148 Pender Street E,Vancouver,3.7,438,49.280153,-123.101201,Station 1
To Dine For Eatery,Burgers,333 Terminal Avenue,Vancouver,4.3,76,49.2724419,-123.0957108,Station 1
Addah,Himalayan/Nepalese,555 Gore Avenue,Vancouver,4.6,16,49.27969,-123.09752,Station 1
"Juke Fried Chicken, Ribs and Cocktail Bar",American,182 Keefer Street,Vancouver,3.2,340,49.2793701,-123.1008339,Station 1
Dosanko,Japanese,566 Powell Street,Vancouver,3.9,110,49.28278,-123.09194,Station 1
La Boqueria,Wine Bars,291 East Pender,Vancouver,4.3,30,49.280466,-123.0976615,Station 1
Bali Thai,Indonesian,88 W Pender Street,Vancouver,4.5,101,49.2802711224293,-123.106226601714,Station 1
RedBeef Noodle Kitchen,Desserts,550 Main Street,Vancouver,4.2,35,49.279908,-123.0995163,Station 1
