Station Name,Latitude,Longitude,Bikes available
10th & Main,49.262141,-123.101961,6
Georgia & Homer,49.280787,-123.115271,4
York & Yew,49.271741,-123.155421,9
Ontario & Seawall,49.271721,-123.104207,7
10th & Granville,49.262598,-123.138921,1
15th & Knight,49.256496,-123.075426,4
Ontario & 23rd,49.249722,-123.104991,3
Dunbar & Broadway,49.264579,-123.18373,10
Carrall & Hastings,49.28117,-123.104419,7
8th & Commercial,49.263242,-123.070521,11
Charleson Park,49.267628,-123.127698,7
Beach & Hornby,49.275295,-123.132585,11
Princess & Union,49.277615,-123.091654,2
3rd & Quebec,49.268216,-123.103168,18
Stanley Park - Second Beach South,49.294318,-123.148808,6
6th & Carolina,49.265213,-123.090785,8
UBC Bookstore,49.265207,-123.250139,5
Balaclava & Broadway,49.264483,-123.173926,11
Expo & Carrall,49.278004,-123.105664,9
Beach & Seymour,49.273568,-123.129935,17
27th & Main,49.247204,-123.101549,10
Stanley Park - Second Beach North,49.29534,-123.150433,13
Keith & 6th,49.265005,-123.079481,6
Jericho Beach,49.271221,-123.191133,2
Point Grey & Bayswater,49.271044,-123.170661,11
7th & Woodland,49.264251,-123.073853,4
Aquatic Centre,49.27821,-123.136972,10
Georgia & Thurlow,49.285953,-123.124066,11
Cordova & Granville,49.2856698,-123.1125432,8
Vanier Park,49.275717,-123.142564,14
Trafalgar & Broadway,49.264326,-123.164725,10
Napier & Commercial,49.274881,-123.069323,9
7th & Laurel,49.265071,-123.123864,6
Science World,49.273691,-123.102232,12
Pender & Victoria,49.280197,-123.065859,6
Cypress & 16th,49.25741,-123.148531,0
Spyglass & Seawall,49.270877,-123.115103,8
Keefer & Hawks,49.279235,-123.087528,12
29th & Cambie,49.245135,-123.116098,6
Victoria & 10th,49.261188,-123.066009,0
Commercial & Adanac,49.277436,-123.070427,7
Columbia & 14th,49.258902,-123.109596,5
Dunsmuir & Richards,49.282214,-123.114101,7
Campbell & Hastings,49.280852,-123.084746,9
Franklin & Nanaimo,49.282087,-123.056909,7
Charles & Commercial,49.273103,-123.069892,12
Beatty & Nelson,49.275679,-123.116963,3
Trimble & 8th,49.2658,-123.20596,8
David Lam Park,49.270905,-123.126006,11
Burrard & 4th,49.267859,-123.145782,7
Cypress & Cornwall,49.272827,-123.147744,6
Keefer & Princess,49.279369,-123.091241,6
Bidwell & Burnaby,49.28526,-123.141809,8
11th & Kingsway,49.261122,-123.097571,3
Pender & Burrard,49.287097,-123.118551,13
Columbia & 1st,49.269969,-123.109623,5
Melville & Bute,49.287782,-123.12395,9
Anderson & 2nd,49.269361,-123.13782,15
5th & Main,49.266456,-123.100324,12
Alexander & Dunlevy,49.284062,-123.095097,11
13th & St George,49.258817,-123.092797,3
Commercial & Pandora,49.283236,-123.070443,11
Grandview & Commercial,49.263746,-123.069892,6
Expo & Smithe,49.276115,-123.114496,8
Cypress & 14th,49.25919,-123.148268,1
Brock Commons,49.269172,-123.25279,9
Beach & Broughton,49.281301,-123.139108,1
Arbutus Greenway & 14th,49.258924,-123.152591,0
Alexander & Main,49.284157,-123.099917,11
Hornby & Drake,49.277178,-123.13,1
Highbury & 8th,49.265442,-123.187738,10
Pharmaceutical Sciences,49.26262,-123.2431,6
Haro & Denman,49.290587,-123.13625,10
Windsor & 14th,49.257985,-123.083366,3
Prince Edward & 16th,49.256694,-123.096579,6
Cardero & Davie,49.285512,-123.1384,5
Stamps Landing,49.26893,-123.11813,5
Marinaside & Davie,49.273471,-123.118016,5
Adanac & McLean,49.277665,-123.073653,14
Bute & Davie,49.282055,-123.133045,7
Victoria & 4th,49.266725,-123.065925,1
Heather & 29th,49.245535,-123.120496,9
McNicoll & Arbutus,49.276292,-123.150592,11
Jervis & Robson,49.28691,-123.128818,5
IK Barber Learning Centre,49.267561,-123.252261,9
Granville Island,49.27029,-123.135025,27
6th & Prince Edward,49.265242,-123.095577,8
Broughton & Davie,49.283749,-123.136133,0
Adanac & Lakewood,49.27751,-123.061429,8
Cypress & 10th,49.262944,-123.148109,1
Thunderbird Parkade,49.261655,-123.241924,8
Burrard Station (Melville & Dunsmuir),49.285871,-123.12105,21
22nd & Cambie,49.251358,-123.115637,1
Glen & Broadway,49.262242,-123.081459,6
Stanley Park - Totem Poles,49.298657,-123.121176,17
Davie & Beach,49.287528,-123.142139,19
Pender & Gore,49.280284,-123.097052,3
Richards & Davie,49.275683,-123.124388,3
Pender & Commercial,49.280332,-123.070068,12
18th & Cambie,49.254818,-123.114785,6
2nd & Commercial,49.268616,-123.069908,8
Wesbrook Village - Berton & Shrum,49.25478,-123.23621,2
Chilco & Robson,49.293257,-123.138563,14
Keefer & Columbia,49.279342,-123.101822,7
Rogers Tower,49.288682,-123.11818,7
Woodland & Graveley,49.270684,-123.073562,7
Cardero & Bayshore,49.291597,-123.129158,18
Nelson & Denman,49.2890705989865,-123.138407369468,12
8th & Fraser,49.263382,-123.088837,4
Balaclava & 6th,49.266924,-123.173849,8
Cambie & Water,49.284605,-123.108662,24
Helmcken & Burrard,49.279938,-123.127478,3
Hornby & Pender,49.28602,-123.116624,11
7th & Heather,49.265089,-123.119425,3
Union & Dunlevy,49.277595,-123.09583,7
Richards & Helmcken,49.277141,-123.122589,6
Keefer & Abbott,49.279821,-123.10802,10
8th & Prince Edward,49.263518,-123.09568,2
